username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
BaanduGandia;2017-02-17 00:17;3;3;"Comienza el congreso de redes sociales @comunica2 Echa un vistazo a este artículo en Baandú. http:// apk.baandu.es/share.php/2017 0216/13/3/0 …";;@comunica2;;"832368250910547970";https://twitter.com/BaanduGandia/status/832368250910547970
AngieBooks;2017-02-16 23:58;0;0;"Que dos grandes!!";;;;"832363507400208389";https://twitter.com/AngieBooks/status/832363507400208389
peremikel50;2017-02-16 23:37;0;0;"estoy hablando de tener más de 20k seguidores";;;;"832358345478660099";https://twitter.com/peremikel50/status/832358345478660099
peremikel50;2017-02-16 23:34;0;0;"eso es lo que te pregunto el "equipo", pues no conozco a nadie";;;;"832357613912387587";https://twitter.com/peremikel50/status/832357613912387587
delikia_es;2017-02-16 23:28;0;2;"";;;;"832355953538375683";https://twitter.com/delikia_es/status/832355953538375683
delikia_es;2017-02-16 23:27;0;1;"gracias!! Esperamos verlas llenitas de ideas fantásticas!";;;;"832355809917018112";https://twitter.com/delikia_es/status/832355809917018112
martacelada;2017-02-16 23:03;0;1;"pues tomárselo enserio, como cualquier otra profesión, trabajarlo día a día y rodearse de un buen equipo";;;;"832349716780294145";https://twitter.com/martacelada/status/832349716780294145
emparoltra;2017-02-16 22:54;1;4;"són moníssimes!";;;;"832347338614198273";https://twitter.com/emparoltra/status/832347338614198273
miboubri;2017-02-16 22:39;0;1;"ell mola molt i és molt majo @comunica2 @albertogarsan @sgalberto";;@comunica2 @albertogarsan @sgalberto;;"832343588222726146";https://twitter.com/miboubri/status/832343588222726146
enrikap;2017-02-16 22:38;0;0;"damunt és ciclista radical";;;;"832343428084146177";https://twitter.com/enrikap/status/832343428084146177
delikia_es;2017-02-16 22:30;0;2;"contentísmos de que os hayan gustado. Para que toméis nota de todo en el #Comunica2017";;;#Comunica2017;"832341297860075522";https://twitter.com/delikia_es/status/832341297860075522
purivicente;2017-02-16 22:23;4;8;"Libretas requetepreciosas de @delikia_es que nos han regalado en #Comunica2017 ¡Y con las páginas de papel reciclado! @comunica2 pic.twitter.com/bkyMfkauJ1";;@delikia_es @comunica2;#Comunica2017;"832339641344851969";https://twitter.com/purivicente/status/832339641344851969
NoroesteMadrid;2017-02-16 22:16;1;3;"Hablando de #instagram con Javi Corral, Marta Celada, E. Chuliá, M. Subirats y E. Anta Guillem http:// bit.ly/2loHio2 @msubirats @comunica2 pic.twitter.com/mXQ8CAM0Qq";;@msubirats @comunica2;#instagram;"832337956513914880";https://twitter.com/NoroesteMadrid/status/832337956513914880
daDelpino;2017-02-16 22:15;0;2;"Mañana en el #comunica2017 que nervios y emoción al mismo tiempo. comunica2 http:// ln.is/www.instagram. com/p/KEl7q …";;;#comunica2017;"832337631031730176";https://twitter.com/daDelpino/status/832337631031730176
daDelpino;2017-02-16 22:12;0;0;"Y así fue el primer día del comunica2 , mañana estará mejor. #comunica2017 #gandia http:// ln.is/www.instagram. com/p/haZKD …";;;#comunica2017 #gandia;"832336937558089732";https://twitter.com/daDelpino/status/832336937558089732
albertogarsan;2017-02-16 22:05;0;0;"pues ojalá oye, ojala! :D";;;;"832335051455070208";https://twitter.com/albertogarsan/status/832335051455070208
miboubri;2017-02-16 22:03;1;3;"¿Podría venir al próximo @comunica2 , no @albertogarsan ? CC @sgalberto #açòéscomlesfalles #comunica2018 https:// twitter.com/albertogarsan/ status/832310300460322816 …";;@comunica2 @albertogarsan @sgalberto;#a #comunica2018;"832334722957193223";https://twitter.com/miboubri/status/832334722957193223
peremikel50;2017-02-16 22:02;0;0;"que tiene que hacer una influencer para poder vivir de ello?";;;;"832334443457163266";https://twitter.com/peremikel50/status/832334443457163266
rociomartinv;2017-02-16 21:46;2;1;"#Evento en #SilviaTeOrienta VII Ed.Congreso Internacional sobre RRSS http:// buff.ly/2lkqDSr vía @comunica2 pic.twitter.com/PrdgudgSLY";;@comunica2;#Evento #SilviaTeOrienta;"832330219893690368";https://twitter.com/rociomartinv/status/832330219893690368
smdani;2017-02-16 21:36;0;1;"enorme! He disfrutado mucho. Tu puesta en escena de 10";;;;"832327816754642947";https://twitter.com/smdani/status/832327816754642947
OndaNaranjaCope;2017-02-16 21:26;1;0;"Finaliza el primer día del Congreso Internacional sobre RRSS Comunica2 , mañana volvemos con todas las novedades que nos traerá, ¡Síguenos! pic.twitter.com/oVYdrsDD78";;;;"832325397782077440";https://twitter.com/OndaNaranjaCope/status/832325397782077440
