username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
ChokeroT;2019-04-01 01:59;0;2;"en el #SalvadosPapa el Pontífice dijo algo así como q cuando se tapa el abuso, éste se extiende. Cuando se destapa éste desaparece. Extrapolable a cq esfera de la vida.";;;#SalvadosPapa;"1112504735947517953";https://twitter.com/ChokeroT/status/1112504735947517953
CMonteroOficial;2019-04-01 01:59;20;29;"Excelente entrevista de @jordievole a @Pontifex_es Estos son los cuatro pecados del periodismo, según Francisco #SalvadosPapa https:// twitter.com/salvadostv/sta tus/1112446043126460416 …";;@jordievole @Pontifex_es;#SalvadosPapa;"1112504635024179200";https://twitter.com/CMonteroOficial/status/1112504635024179200
And89_3;2019-04-01 01:58;0;6;"Si alguien sabe editar vídeos les propongo que pongan las palabras del Papa sobre los medios de comunicación y a continuación las de Iglesias, a ver dónde está la diferencia y el problema en decirlo (7) #ObjetivoIglesias #SalvadosPapa #LaHistoriaLaEscribesTú #UnidasPodemos";;;#ObjetivoIglesias #SalvadosPapa #LaHistoriaLaEscribesT #UnidasPodemos;"1112504533161259009";https://twitter.com/And89_3/status/1112504533161259009
abelazcona;2019-04-01 01:58;20;76;"Posible respuesta para todos los futuros controles de alcoholemia. #SalvadosPapa https:// twitter.com/jordievole/sta tus/1112437316415557632 …";;;#SalvadosPapa;"1112504403083358210";https://twitter.com/abelazcona/status/1112504403083358210
MediterraneoDGT;2019-04-01 01:58;17;25;"La #Opinión de @davidenguita en @MediterraneoDGT Soy Gay, católico y sin diagnóstico de 'Rareza' #SalvadosPapa https://www. mediterraneodigital.com/opinion/column istas-de-opinion/david-enguita/soy-gay-catolico-y-sin-diagnostico-de-rareza.html …";;@davidenguita @MediterraneoDGT;#Opini #SalvadosPapa;"1112504346271498241";https://twitter.com/MediterraneoDGT/status/1112504346271498241
Mj_ArQ;2019-04-01 01:57;0;0;"Al contrario! Os ha evangelizado de un plumazo y nosotros felices Listo el #Papa #SalvadosPapa #VOXAvanza @vox_es";;@vox_es;#Papa #SalvadosPapa #VOXAvanza;"1112504245163577346";https://twitter.com/Mj_ArQ/status/1112504245163577346
Jesandram;2019-04-01 01:57;0;0;"#SalvadosPapa @jordievole ORO.";;@jordievole;#SalvadosPapa;"1112504220069048320";https://twitter.com/Jesandram/status/1112504220069048320
And89_3;2019-04-01 01:57;0;1;"¿Estuvo mal el cartel de vuELve? Sí, pero hacer de eso casi un debate nacional solo pueden producirlo los medios. ¿Alguien se cree que ese día la gente no hablaba de otra cosa en la calle?¡Por favor!Fueron ellos los que fabricaron la noticia (6) #ObjetivoIglesias #SalvadosPapa";;;#ObjetivoIglesias #SalvadosPapa;"1112504215987998725";https://twitter.com/And89_3/status/1112504215987998725
jesusverson;2019-04-01 01:57;0;1;"Todo el mundo debería verlo, especialmente los católicos. Aun con diferencias, dice cosas que pueden llegar a muchas personas y persuadirles hacia opiniones más humanas. Me refiero sobre todo al tema central de la entrevista, los refugiados. #SalvadosPapa Grande este @Pontifex_es";;@Pontifex_es;#SalvadosPapa;"1112504169762562048";https://twitter.com/jesusverson/status/1112504169762562048
carminis82;2019-04-01 01:56;0;0;"No os flipeis @salvadostv trending topic y mañana todos los medios (y ‘personalidades/personajidades’ como #salvadospapa";;@salvadostv;#salvadospapa;"1112504088456060928";https://twitter.com/carminis82/status/1112504088456060928
callogher;2019-04-01 01:56;0;0;"#SalvadosPapa #ObjetivoIglesias Todo muy religioso. Objetivo que el Papa nos salve en las iglesias.";;;#SalvadosPapa #ObjetivoIglesias;"1112504022731317248";https://twitter.com/callogher/status/1112504022731317248
buenavideando;2019-04-01 01:55;0;0;"@eduardoinda esto si es periodismo. Toma nota paquete. #SalvadosPapa";;@eduardoinda;#SalvadosPapa;"1112503826085376005";https://twitter.com/buenavideando/status/1112503826085376005
KikeMavs41;2019-04-01 01:55;0;0;"Tanto neocon y voxista escandalizado con la entrevista a Bergoglio en la Sexta no, por favor, a ver si va a empezar a caerme bien. #SalvadosPapa";;;#SalvadosPapa;"1112503824957296640";https://twitter.com/KikeMavs41/status/1112503824957296640
And89_3;2019-04-01 01:55;0;3;"Si Susana Griso, AR y Ferreras deciden cada mañana hablar de la descomposición de Podemos, la gente creerá que Podemos se descompone. Si hablan un minuto del pucherazo de C's, no se dará importancia (5) #ObjetivoIglesias #SalvadosPapa";;;#ObjetivoIglesias #SalvadosPapa;"1112503824026079232";https://twitter.com/And89_3/status/1112503824026079232
nachogarciad;2019-04-01 01:55;5;24;"Había que hacer la pregunta... Genial el que cuestiona, el que contesta y la réplica #SalvadosPapa pic.twitter.com/7cr6aHPRTK";;;#SalvadosPapa;"1112503822264475648";https://twitter.com/nachogarciad/status/1112503822264475648
JUALOP2012;2019-04-01 01:55;0;0;"#SalvadosPapa Al final del programa el Papa ha confesado realmente porque Messi no es Dios: Dios está en todas partes y Messi sólo esta en Barcelona.";;;#SalvadosPapa;"1112503653175300097";https://twitter.com/JUALOP2012/status/1112503653175300097
buenavideando;2019-04-01 01:55;0;0;"@jordievole muchísimas gracias por el programa. Ha dejado usted el listón en casa Dios. #SalvadosPapa";;@jordievole;#SalvadosPapa;"1112503593397960704";https://twitter.com/buenavideando/status/1112503593397960704
ParadisePerduto;2019-04-01 01:54;0;0;"Boycott a la Iglesia...Ya está bien de que una secta inmensamente rica,corrupta y llena de delitos encubiertos JUZGUE a cualquier ser humano,sea lo que sea,del color o educación que sea. #SalvadosPapa #Salvados #LGTB #LGTBI #LGTBIQ #StopLGTBIfobia #homófobos #homofobia #feminista";;;#SalvadosPapa #Salvados #LGTB #LGTBI #LGTBIQ #StopLGTBIfobia #hom #homofobia #feminista;"1112503590415941634";https://twitter.com/ParadisePerduto/status/1112503590415941634
Britovius;2019-04-01 01:54;0;0;"#SalvadosPapa Jordi y Paquito acabaron bailando....... https:// youtu.be/t0mlPqKwhEE";;;#SalvadosPapa;"1112503557192863744";https://twitter.com/Britovius/status/1112503557192863744
And89_3;2019-04-01 01:54;2;2;"Especiales de televisiones, debates, declaraciones del Papa, de más personas opinando sobre el derecho a recuperar a tus muertos, así durante un tiempo, si eso se hiciera sería un clamor y los políticos de derechas asumirían que es un derecho(4) #ObjetivoIglesias #SalvadosPapa";;;#ObjetivoIglesias #SalvadosPapa;"1112503484702748674";https://twitter.com/And89_3/status/1112503484702748674
TELosUnicornios;2019-04-01 01:54;0;2;"se le ha visto la patita al condenado con su repugnante silencio acerca de la momia de franco... #SalvadosPapa";;;#SalvadosPapa;"1112503466059010048";https://twitter.com/TELosUnicornios/status/1112503466059010048
hacialaextinci1;2019-04-01 01:53;1;3;"Tolerancia cero con la pederastia #SalvadosPapa #ObjetivoIglesias pic.twitter.com/qRXMLRJEtK";;;#SalvadosPapa #ObjetivoIglesias;"1112503151700131842";https://twitter.com/hacialaextinci1/status/1112503151700131842
Juanfrix;2019-04-01 01:53;0;0;"¿En serio te importa lo que piensa ese tío? Pues imagínate al revés. #SalvadosPapa";;;#SalvadosPapa;"1112503138299326466";https://twitter.com/Juanfrix/status/1112503138299326466
anahi_lemonw;2019-04-01 01:52;0;0;"@jordievole le gustó a tu madre la entrevista con el Papa Francisco? Me quedé con la intriga. #SalvadosPapa";;@jordievole;#SalvadosPapa;"1112502992132018177";https://twitter.com/anahi_lemonw/status/1112502992132018177
And89_3;2019-04-01 01:52;2;4;"Si los medios directamente deciden no tratar determinados temas, esos temas se vuelven invisibles.Repito si mañana el debate fueran las palabras del Papa sobre los muertos en las cunetas igual muchos católicos de derechas cambiaban de opinión(3) #ObjetivoIglesias #SalvadosPapa";;;#ObjetivoIglesias #SalvadosPapa;"1112502953838084096";https://twitter.com/And89_3/status/1112502953838084096
carminis82;2019-04-01 01:52;0;0;"Me parto @jordievole pregunta si le habrá gustado a su madre y me recuerda a mis infantiles cuando me dicen ‘pero no se lo vas a contar a mi madre, verdad?’ #SalvadosPapa";;@jordievole;#SalvadosPapa;"1112502925614563329";https://twitter.com/carminis82/status/1112502925614563329
NivelDiosa;2019-04-01 01:51;0;1;"A muchos de izquierdas se os ha olvidado hoy que el Papa es el máximo representante de un negocio multimillonario cómplice del nazismo, el franquismo y el fascismo, que lleva siglos permitiendo la pederastia, atacando la homosexualidad y despreciando a la mujer #SalvadosPapa";;;#SalvadosPapa;"1112502691241046016";https://twitter.com/NivelDiosa/status/1112502691241046016
